tweet_id,expected_faction,polarization_level,topic,temporal_period,engagement_pattern
2173,moderate,medium,trade,peak_controversy,medium_all
2181,progressive,very_high,technology,peak_controversy,very_high_same_faction
2182,conservative,very_high,technology,peak_controversy,very_high_same_faction
2183,moderate,medium,technology,peak_controversy,medium_all
2191,progressive,very_high,police_reform,peak_controversy,very_high_same_faction
2192,conservative,very_high,police_reform,peak_controversy,very_high_same_faction
2193,moderate,medium,police_reform,peak_controversy,medium_all
2201,progressive,very_high,climate,escalation,very_high_same_faction
2202,conservative,very_high,climate,escalation,very_high_same_faction
2203,moderate,medium,climate,escalation,medium_all
2211,progressive,very_high,welfare,escalation,very_high_same_faction
2212,conservative,very_high,welfare,escalation,very_high_same_faction
2213,moderate,medium,welfare,escalation,medium_all
2221,conservative,high,foreign_policy,escalation,high_same_faction
2222,progressive,high,foreign_policy,escalation,high_same_faction
2223,moderate,medium,foreign_policy,escalation,medium_all
2231,conservative,very_high,government_role,escalation,very_high_same_faction
2232,progressive,very_high,government_role,escalation,very_high_same_faction
2233,moderate,medium,government_role,escalation,medium_all
2241,progressive,very_high,wealth_inequality,extreme_polarization,extreme_same_faction
2242,conservative,very_high,wealth_inequality,extreme_polarization,extreme_same_faction
2243,moderate,medium,wealth_inequality,extreme_polarization,medium_all
2251,progressive,extreme,abortion,extreme_polarization,extreme_same_faction
2252,conservative,extreme,abortion,extreme_polarization,extreme_same_faction
2253,moderate,medium,abortion,extreme_polarization,medium_all
2261,conservative,extreme,election_integrity,extreme_polarization,extreme_same_faction
2262,progressive,extreme,election_integrity,extreme_polarization,extreme_same_faction
2263,moderate,medium,election_integrity,extreme_polarization,medium_all
2271,progressive,extreme,social_media,extreme_polarization,extreme_same_faction
2272,conservative,extreme,social_media,extreme_polarization,extreme_same_faction
2273,moderate,medium,social_media,extreme_polarization,medium_all
2281,progressive,extreme,cryptocurrency,extreme_polarization,extreme_same_faction
2282,conservative,extreme,cryptocurrency,extreme_polarization,extreme_same_faction
2283,moderate,medium,cryptocurrency,extreme_polarization,medium_all
2291,progressive,high,infrastructure,extreme_polarization,high_same_faction
2292,conservative,high,infrastructure,extreme_polarization,high_same_faction
2293,moderate,medium,infrastructure,extreme_polarization,medium_all
2301,progressive,extreme,housing,extreme_polarization,extreme_same_faction
2302,conservative,extreme,housing,extreme_polarization,extreme_same_faction
2303,moderate,medium,housing,extreme_polarization,medium_all
2311,progressive,extreme,student_loans,extreme_polarization,extreme_same_faction
2312,conservative,extreme,student_loans,extreme_polarization,extreme_same_faction
2313,moderate,medium,student_loans,extreme_polarization,medium_all
2321,progressive,extreme,mental_health,extreme_polarization,extreme_same_faction
2322,conservative,extreme,mental_health,extreme_polarization,extreme_same_faction
2323,moderate,medium,mental_health,extreme_polarization,medium_all
2331,progressive,extreme,drug_policy,extreme_polarization,extreme_same_faction
2332,conservative,extreme,drug_policy,extreme_polarization,extreme_same_faction
2333,moderate,medium,drug_policy,extreme_polarization,medium_all
2341,conservative,extreme,electric_vehicles,extreme_polarization,extreme_same_faction
2342,progressive,extreme,electric_vehicles,extreme_polarization,extreme_same_faction
2343,moderate,medium,electric_vehicles,extreme_polarization,medium_all
2351,progressive,extreme,artificial_intelligence,extreme_polarization,extreme_same_faction
2352,conservative,extreme,artificial_intelligence,extreme_polarization,extreme_same_faction
2353,moderate,medium,artificial_intelligence,extreme_polarization,medium_all
2361,progressive,high,space_exploration,extreme_polarization,high_same_faction
2362,conservative,high,space_exploration,extreme_polarization,high_same_faction
2363,moderate,medium,space_exploration,extreme_polarization,medium_all
2371,conservative,extreme,patriotism,extreme_polarization,extreme_same_faction
2372,progressive,extreme,patriotism,extreme_polarization,extreme_same_faction
2373,moderate,medium,patriotism,extreme_polarization,medium_all
2381,conservative,extreme,protest,extreme_polarization,extreme_same_faction
2382,progressive,extreme,protest,extreme_polarization,extreme_same_faction
2383,moderate,medium,protest,extreme_polarization,medium_all
2391,conservative,extreme,globalization,extreme_polarization,extreme_same_faction
2392,progressive,extreme,globalization,extreme_polarization,extreme_same_faction
2393,moderate,medium,globalization,extreme_polarization,medium_all
2401,progressive,extreme,technology_society,extreme_polarization,extreme_same_faction
2402,conservative,extreme,technology_society,extreme_polarization,extreme_same_faction
2403,moderate,medium,technology_society,extreme_polarization,medium_all
2411,progressive,extreme,labor_rights,extreme_polarization,extreme_same_faction
2412,conservative,extreme,labor_rights,extreme_polarization,extreme_same_faction
2413,moderate,medium,labor_rights,extreme_polarization,medium_all
2421,progressive,extreme,gender_identity,maximum_polarization,maximum_same_faction
2422,conservative,extreme,gender_identity,maximum_polarization,maximum_same_faction
2423,moderate,medium,gender_identity,maximum_polarization,medium_all
2431,progressive,extreme,agriculture,maximum_polarization,maximum_same_faction
2432,conservative,extreme,agriculture,maximum_polarization,maximum_same_faction
2433,moderate,medium,agriculture,maximum_polarization,medium_all
2441,progressive,extreme,religion,maximum_polarization,maximum_same_faction
2442,conservative,extreme,religion,maximum_polarization,maximum_same_faction
2443,moderate,medium,religion,maximum_polarization,medium_all
2451,conservative,extreme,free_speech,maximum_polarization,maximum_same_faction
2452,progressive,extreme,free_speech,maximum_polarization,maximum_same_faction
2453,moderate,medium,free_speech,maximum_polarization,medium_all
2461,conservative,extreme,cancel_culture,maximum_polarization,maximum_same_faction
2462,progressive,extreme,cancel_culture,maximum_polarization,maximum_same_faction
2463,moderate,medium,cancel_culture,maximum_polarization,medium_all
2471,progressive,extreme,fossil_fuels,maximum_polarization,maximum_same_faction
2472,conservative,extreme,fossil_fuels,maximum_polarization,maximum_same_faction
2473,moderate,medium,fossil_fuels,maximum_polarization,medium_all
2481,progressive,extreme,fiscal_policy,maximum_polarization,maximum_same_faction
2482,conservative,extreme,fiscal_policy,maximum_polarization,maximum_same_faction
2483,moderate,medium,fiscal_policy,maximum_polarization,medium_all
2491,progressive,extreme,media_bias,maximum_polarization,maximum_same_faction
2492,conservative,extreme,media_bias,maximum_polarization,maximum_same_faction
2493,moderate,medium,media_bias,maximum_polarization,medium_all
2501,progressive,extreme,pharmaceutical,maximum_polarization,maximum_same_faction
2502,conservative,extreme,pharmaceutical,maximum_polarization,maximum_same_faction
2503,moderate,medium,pharmaceutical,maximum_polarization,medium_all
2511,progressive,extreme,gambling,maximum_polarization,maximum_same_faction
2512,conservative,extreme,gambling,maximum_polarization,maximum_same_faction
2513,moderate,medium,gambling,maximum_polarization,medium_all
2521,progressive,extreme,cryptocurrency_energy,maximum_polarization,maximum_same_faction
2522,conservative,extreme,cryptocurrency_energy,maximum_polarization,maximum_same_faction
2523,moderate,medium,cryptocurrency_energy,maximum_polarization,medium_all
2531,progressive,extreme,alternative_protein,maximum_polarization,maximum_same_faction
2532,conservative,extreme,alternative_protein,maximum_polarization,maximum_same_faction
2533,moderate,medium,alternative_protein,maximum_polarization,medium_all
2541,progressive,extreme,social_media_youth,maximum_polarization,maximum_same_faction
2542,conservative,extreme,social_media_youth,maximum_polarization,maximum_same_faction
2543,moderate,medium,social_media_youth,maximum_polarization,medium_all
2551,progressive,extreme,remote_work,maximum_polarization,maximum_same_faction
2552,conservative,extreme,remote_work,maximum_polarization,maximum_same_faction
2553,moderate,medium,remote_work,maximum_polarization,medium_all
2561,progressive,extreme,nuclear_weapons,maximum_polarization,maximum_same_faction
2562,conservative,extreme,nuclear_weapons,maximum_polarization,maximum_same_faction
2563,moderate,medium,nuclear_weapons,maximum_polarization,medium_all
2571,progressive,extreme,voting_reform,maximum_polarization,maximum_same_faction
2572,conservative,extreme,voting_reform,maximum_polarization,maximum_same_faction
2573,moderate,medium,voting_reform,maximum_polarization,medium_all
2581,progressive,extreme,intellectual_property,maximum_polarization,maximum_same_faction
2582,conservative,extreme,intellectual_property,maximum_polarization,maximum_same_faction
2583,moderate,medium,intellectual_property,maximum_polarization,medium_all
2591,progressive,extreme,healthcare_final,maximum_polarization,maximum_same_faction
2592,conservative,extreme,healthcare_final,maximum_polarization,maximum_same_faction
2593,moderate,medium,healthcare_final,maximum_polarization,medium_all
2601,progressive,extreme,energy_final,maximum_polarization,maximum_same_faction
2602,conservative,extreme,energy_final,maximum_polarization,maximum_same_faction
2603,moderate,medium,energy_final,maximum_polarization,medium_all
2611,progressive,extreme,ai_final,maximum_polarization,maximum_same_faction
2612,conservative,extreme,ai_final,maximum_polarization,maximum_same_faction
2613,moderate,medium,ai_final,maximum_polarization,medium_all
2621,progressive,extreme,democracy_final,maximum_polarization,maximum_same_faction
2622,conservative,extreme,democracy_final,maximum_polarization,maximum_same_faction
2623,moderate,medium,democracy_final,maximum_polarization,medium_all
2631,conservative,extreme,geopolitics_final,maximum_polarization,maximum_same_faction
2632,progressive,extreme,geopolitics_final,maximum_polarization,maximum_same_faction
2633,moderate,medium,geopolitics_final,maximum_polarization,medium_all
2641,progressive,extreme,globalization_final,maximum_polarization,maximum_same_faction
2642,conservative,extreme,globalization_final,maximum_polarization,maximum_same_faction
2643,moderate,medium,globalization_final,maximum_polarization,medium_all
2651,progressive,extreme,future_final,maximum_polarization,maximum_same_faction
2652,conservative,extreme,future_final,maximum_polarization,maximum_same_faction
2653,moderate,medium,future_final,maximum_polarization,medium_all
2661,progressive,extreme,existential_final,maximum_polarization,maximum_same_faction
2662,conservative,extreme,existential_final,maximum_polarization,maximum_same_faction
2663,moderate,medium,existential_final,maximum_polarization,medium_all
2671,progressive,extreme,social_justice_final,maximum_polarization,maximum_same_faction
2672,conservative,extreme,social_justice_final,maximum_polarization,maximum_same_faction
2673,moderate,medium,social_justice_final,maximum_polarization,medium_all
2681,conservative,extreme,free_speech_final,maximum_polarization,maximum_same_faction
2682,progressive,extreme,free_speech_final,maximum_polarization,maximum_same_faction
2683,moderate,medium,free_speech_final,maximum_polarization,medium_all
2691,progressive,extreme,privacy_final,maximum_polarization,maximum_same_faction
2692,conservative,extreme,privacy_final,maximum_polarization,maximum_same_faction
2693,moderate,medium,privacy_final,maximum_polarization,medium_all
2701,conservative,extreme,success_final,maximum_polarization,maximum_same_faction
2702,progressive,extreme,success_final,maximum_polarization,maximum_same_faction
2703,moderate,medium,success_final,maximum_polarization,medium_all
2711,progressive,extreme,innovation_final,maximum_polarization,maximum_same_faction
2712,conservative,extreme,innovation_final,maximum_polarization,maximum_same_faction
2713,moderate,medium,innovation_final,maximum_polarization,medium_all
2721,progressive,extreme,conclusion_final,maximum_polarization,maximum_same_faction
2722,conservative,extreme,conclusion_final,maximum_polarization,maximum_same_faction
2723,moderate,low,conclusion_final,resolution,moderate_all
2724,moderate,low,conclusion_final,resolution,moderate_all
2725,moderate,low,conclusion_final,resolution,moderate_all
2726,moderate,low,conclusion_final,resolution,moderate_all
2727,moderate,low,conclusion_final,resolution,moderate_all
2728,moderate,low,conclusion_final,resolution,moderate_all
2729,moderate,low,conclusion_final,resolution,moderate_all
2730,moderate,low,conclusion_final,resolution,moderate_all
